bootstrap,n_points,slope,intercept,crossover,crossover_median,crossover_q25,crossover_q75
239,9238298,-756.5453383,284.3247162,0.375819798,0.3757767755,0.3757340244,0.3758219809
240,9240964,-754.823199,283.7203874,0.3758766129,0.3757767755,0.3757340244,0.3758219809
241,9239813,-752.9612571,282.994994,0.3758427029,0.3757767755,0.3757340244,0.3758219809
242,9236820,-753.9834344,283.3591121,0.3758160978,0.3757767755,0.3757340244,0.3758219809
243,9239523,-753.9970019,283.3462761,0.3757923114,0.3757767755,0.3757340244,0.3758219809
244,9237187,-753.8601917,283.2835638,0.3757773218,0.3757767755,0.3757340244,0.3758219809
245,9236360,-756.3956651,284.3103584,0.3758751822,0.3757767755,0.3757340244,0.3758219809
246,9239318,-756.4976391,284.3173867,0.3758338057,0.3757767755,0.3757340244,0.3758219809
247,9240498,-755.3060823,283.8108681,0.3757561004,0.3757767755,0.3757340244,0.3758219809
248,9237618,-755.1448475,283.834197,0.3758672232,0.3757767755,0.3757340244,0.3758219809
249,9239122,-758.4807807,285.0146175,0.3757703883,0.3757767755,0.3757340244,0.3758219809
250,9240372,-753.8060799,283.3290413,0.3758646273,0.3757767755,0.3757340244,0.3758219809
251,9238191,-755.0532794,283.7510995,0.3758027509,0.3757767755,0.3757340244,0.3758219809
252,9240503,-755.4144135,283.8685084,0.3757785175,0.3757767755,0.3757340244,0.3758219809
253,9238435,-755.2182603,283.7348729,0.375699169,0.3757767755,0.3757340244,0.3758219809
254,9238664,-754.7984359,283.6697943,0.3758219158,0.3757767755,0.3757340244,0.3758219809
255,9238727,-754.7198912,283.6047499,0.3757748446,0.3757767755,0.3757340244,0.3758219809
256,9238487,-755.0846015,283.7986534,0.3758501402,0.3757767755,0.3757340244,0.3758219809
257,9240659,-755.9092967,284.0017012,0.3757087027,0.3757767755,0.3757340244,0.3758219809
258,9237475,-753.4631117,283.1543173,0.3758038223,0.3757767755,0.3757340244,0.3758219809
259,9239343,-756.3244593,284.258951,0.3758425997,0.3757767755,0.3757340244,0.3758219809
260,9236963,-755.6105649,283.870935,0.3756841794,0.3757767755,0.3757340244,0.3758219809
261,9240504,-757.3457631,284.5313588,0.375695452,0.3757767755,0.3757340244,0.3758219809
262,9237808,-753.1076053,283.0630824,0.3758600769,0.3757767755,0.3757340244,0.3758219809
263,9241928,-753.7838197,283.323284,0.3758680892,0.3757767755,0.3757340244,0.3758219809
264,9239297,-754.0963836,283.358232,0.3757586407,0.3757767755,0.3757340244,0.3758219809
265,9238138,-755.1001621,283.7285104,0.3757495027,0.3757767755,0.3757340244,0.3758219809
266,9237331,-755.5257077,283.8875829,0.3757484094,0.3757767755,0.3757340244,0.3758219809
267,9238372,-756.067014,284.0493141,0.3756933034,0.3757767755,0.3757340244,0.3758219809
268,9240157,-757.4333485,284.5780702,0.3757136793,0.3757767755,0.3757340244,0.3758219809
269,9238632,-754.7564408,283.7125952,0.3758995351,0.3757767755,0.3757340244,0.3758219809
270,9241555,-757.2025875,284.4841755,0.3757041777,0.3757767755,0.3757340244,0.3758219809
271,9240484,-753.9027766,283.2855942,0.3757587888,0.3757767755,0.3757340244,0.3758219809
272,9239093,-758.4394872,284.9357065,0.3756868033,0.3757767755,0.3757340244,0.3758219809
273,9239685,-755.3480584,283.8757066,0.3758210582,0.3757767755,0.3757340244,0.3758219809
274,9239305,-756.9246899,284.3977509,0.3757279352,0.3757767755,0.3757340244,0.3758219809
275,9236921,-757.4543792,284.5689721,0.3756912362,0.3757767755,0.3757340244,0.3758219809
276,9240901,-754.1355336,283.5071569,0.3759366112,0.3757767755,0.3757340244,0.3758219809
277,9236103,-757.4150809,284.5546132,0.3756917711,0.3757767755,0.3757340244,0.3758219809
278,9237925,-759.2039851,285.2067079,0.3756654516,0.3757767755,0.3757340244,0.3758219809
279,9235261,-753.9143095,283.3689933,0.375863662,0.3757767755,0.3757340244,0.3758219809
280,9236634,-757.0001561,284.4355478,0.3757404084,0.3757767755,0.3757340244,0.3758219809
281,9237783,-755.4653912,283.7809049,0.3756372009,0.3757767755,0.3757340244,0.3758219809
282,9241574,-757.588143,284.6539357,0.3757370523,0.3757767755,0.3757340244,0.3758219809
283,9237321,-756.4456755,284.2444443,0.3757631955,0.3757767755,0.3757340244,0.3758219809
284,9237854,-754.8710728,283.7542999,0.3758976998,0.3757767755,0.3757340244,0.3758219809
285,9240197,-757.9829982,284.8162318,0.3757554358,0.3757767755,0.3757340244,0.3758219809
286,9237472,-754.1308146,283.3666115,0.3757525963,0.3757767755,0.3757340244,0.3758219809
287,9238392,-757.9623582,284.7474266,0.3756748914,0.3757767755,0.3757340244,0.3758219809
288,9239105,-753.6062742,283.2314745,0.3758348148,0.3757767755,0.3757340244,0.3758219809
