case_label,case_name,surface,profile,ntwr,reference_towers,n_repeats,rms_error_mean,rms_error_std,rel_rms_error_mean,rel_rms_error_std,max_abs_error_mean,max_abs_error_std
g400,Gap_4_9mps,patches,Shear,100,1000,100,0.006986898465776286,0.003101852968313449,0.016911124036805506,0.007507740458520309,0.017394840664592393,0.006620826827236366
g400,Gap_4_9mps,patches,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,patches,PHI,1,1000,100,0.16917853116709908,0.048417331708166055,0.17460769685244099,0.04997110873928449,0.48239626726745044,0.17095287809554904
g400,Gap_4_9mps,patches,PHI,10,1000,100,0.050259982233833586,0.014913224337508376,0.05187289238861149,0.015391809683252015,0.13826085761064622,0.04306248161129196
g400,Gap_4_9mps,patches,PHI,100,1000,100,0.01527226965068117,0.00411339724035786,0.01576237724147749,0.0042454016678314214,0.04509940058806306,0.017224959983951085
g400,Gap_4_9mps,patches,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,patches,Skew,1,1000,100,0.09186688159409277,0.0291162568986749,0.293138486436253,0.09290720801516242,0.2911823362117731,0.24489702337245955
g400,Gap_4_9mps,patches,Skew,10,1000,100,0.03170581727367901,0.009679099837891746,0.10117024901200423,0.030885087501733754,0.12082016567549553,0.07069744943697216
g400,Gap_4_9mps,patches,Skew,100,1000,100,0.009833159133763836,0.00247928710917727,0.03137667607021177,0.007911169488002643,0.04021802357319323,0.022993399316286953
g400,Gap_4_9mps,patches,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,forested,U,1,1000,100,2.824454918835286,1.7037653006729903,0.18831795470777776,0.11359699692326036,3.726841884762693,1.7768428978179653
i1200,Patch_12_9mps,forested,U,10,1000,100,0.8700567613429044,0.6570438253947799,0.05801024073109802,0.043807797577715545,1.1598753622221023,0.6923489284315911
i1200,Patch_12_9mps,forested,U,100,1000,100,0.2692812133370661,0.17897433640094498,0.017954079209653816,0.011932950585065884,0.3521383887258608,0.18032248820386226
i1200,Patch_12_9mps,forested,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,forested,Shear,1,1000,100,0.2823129372643062,0.1889841775079542,0.3936454519950512,0.2635116998034839,0.9371520590107286,0.6213925811122523
i1200,Patch_12_9mps,forested,Shear,10,1000,100,0.10193212396313835,0.058329009959750294,0.14212992645363387,0.08133155254069462,0.35443719731838846,0.19154070463077233
i1200,Patch_12_9mps,forested,Shear,100,1000,100,0.03073142301486508,0.016396521935941634,0.04285062179708752,0.02286263021158602,0.10467713399725316,0.05225872920880644
i1200,Patch_12_9mps,forested,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,forested,PHI,1,1000,100,0.3562654437697313,0.1477038283902025,0.31771971131586413,0.1317231815127004,1.3553728070966924,0.9531271828686799
i1200,Patch_12_9mps,forested,PHI,10,1000,100,0.1198182800675462,0.03778165614466348,0.10685467821580089,0.03369391304500579,0.4625639993493803,0.21023019953985614
i1200,Patch_12_9mps,forested,PHI,100,1000,100,0.040586968700257194,0.013124248733822062,0.036195708015303515,0.011704285643944384,0.16677608549766101,0.07123353546424394
i1200,Patch_12_9mps,forested,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,forested,Skew,1,1000,100,0.10955073741178674,0.031653923445562046,0.35277715804627724,0.10193250559478524,0.3458668152652767,0.15564793337630858
i1200,Patch_12_9mps,forested,Skew,10,1000,100,0.03809948902346919,0.009021208803804508,0.12268862609471304,0.029050250862170845,0.11948489020311731,0.04301254884794102
i1200,Patch_12_9mps,forested,Skew,100,1000,100,0.011257103897495228,0.003025045781675725,0.03625031847903165,0.009741304157616953,0.03558504571187732,0.01516986062715055
i1200,Patch_12_9mps,forested,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,patches,U,1,1000,100,2.2592649480496303,1.2322962824466692,0.1693435819645522,0.09236697390948782,2.874459491379885,1.364555136016998
i1200,Patch_12_9mps,patches,U,10,1000,100,0.7734798108431419,0.45920315942198364,0.05797630855934681,0.03441964960023351,1.0636385812070959,0.5281543024025852
i1200,Patch_12_9mps,patches,U,100,1000,100,0.21680632447758263,0.1382569110302236,0.01625075430453511,0.010363069884930626,0.290373871810899,0.15174243160467432
i1200,Patch_12_9mps,patches,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,patches,Shear,1,1000,100,0.1801073456543861,0.10148443322580657,0.3622813228300669,0.2041333438240555,0.42236101875543725,0.3546255489453049
i1200,Patch_12_9mps,patches,Shear,10,1000,100,0.0583067831616462,0.028831419311821725,0.11728260419928432,0.057993663109102325,0.14751855592671334,0.0846119351374511
i1200,Patch_12_9mps,patches,Shear,100,1000,100,0.019042995125975164,0.009758036240432845,0.03830449801932768,0.019628040514191283,0.048411349995366545,0.029847402795405265
i1200,Patch_12_9mps,patches,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,patches,PHI,1,1000,100,0.2683137117100335,0.12638213772901974,0.26947495673720345,0.1269291117469542,0.7022494345501099,0.5333393867025488
i1200,Patch_12_9mps,patches,PHI,10,1000,100,0.07696902146464485,0.028006607531954608,0.07730213859403907,0.02812781838441947,0.20270687219825867,0.1000664484296837
i1200,Patch_12_9mps,patches,PHI,100,1000,100,0.026874764820541373,0.01130433840503943,0.026991077128269952,0.011353262877347,0.06665690019232935,0.031379944790525374
i1200,Patch_12_9mps,patches,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i1200,Patch_12_9mps,patches,Skew,1,1000,100,0.10920780044472711,0.028477515499678863,0.36013574296886824,0.09391061041994905,0.27472666928553424,0.09541575743390171
i1200,Patch_12_9mps,patches,Skew,10,1000,100,0.03289414093960357,0.010075833065718142,0.10847536383266451,0.03322718351963561,0.080605666265683,0.02512691273823905
i1200,Patch_12_9mps,patches,Skew,100,1000,100,0.009470074275473707,0.0028236747963127926,0.03122956621486244,0.009311662871437993,0.024772882849191883,0.008207687080122029
i1200,Patch_12_9mps,patches,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i800,Patch_8_9mps,forested,U,1,1000,100,2.2093431225068083,1.558514756277196,0.1586089297735665,0.11188590627288365,2.938548945943769,1.7138742831049172
i800,Patch_8_9mps,forested,U,10,1000,100,0.6857794550774154,0.46076773344665045,0.04923216512748498,0.03307855458560171,0.9245660563034839,0.460586417057412
i800,Patch_8_9mps,forested,U,100,1000,100,0.2221118169401906,0.17394013557198618,0.015945426138685884,0.012487177055793323,0.3044946568684853,0.1756886166215988
i800,Patch_8_9mps,forested,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i800,Patch_8_9mps,forested,Shear,1,1000,100,0.24025751992996378,0.16304612037648247,0.3768190312945011,0.2557209495648772,0.8359604431188038,0.6241043530170823
i800,Patch_8_9mps,forested,Shear,10,1000,100,0.08076242107687932,0.04213029326257794,0.12666749113226328,0.06607700062826607,0.2806282052287595,0.15735583730353103
i800,Patch_8_9mps,forested,Shear,100,1000,100,0.022602801694341795,0.010948243794077071,0.035450152992032774,0.017171186242423378,0.08191151743401574,0.03722033839361626
i800,Patch_8_9mps,forested,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
i800,Patch_8_9mps,forested,PHI,1,1000,100,0.3218145064170945,0.1371948721000379,0.2928185013677725,0.12483339328280305,1.1906448950786328,0.6859602923823584
i800,Patch_8_9mps,forested,PHI,10,1000,100,0.11531845557647495,0.04499932492250057,0.10492807710223138,0.040944813312082995,0.46700510262714867,0.21457165158524077
i800,Patch_8_9mps,forested,PHI,100,1000,100,0.0334777669585482,0.011975097525744317,0.030461366266803225,0.010896121962496803,0.14514256630870137,0.06087382869843199
i800,Patch_8_9mps,forested,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
